TOWNSHIPID;TOWN_NAME_DESC
1;AANWINS A.H.
2;ABBOTSFORD
3;ABMARIE A.H.
4;AEROTON
5;AEROTON EXT.2
6;AEROTON EXT.5
7;AEROTON EXT.6
8;AEROTON EXT.7
9;AEROTON EXT.8
10;AEROTON EXT.10
11;AEROTON EXT.11
12;AEROTON EXT.13
13;AEROTON EXT.15
14;AEROTON EXT.29
15;AEROTON EXT.30
16;AEROTON EXT.34
17;AEROTON EXT.40
18;AEROTON EXT.41
19;AEROTON EXT.42
20;AEROTON EXT.43
21;AEROTON EXT.44
22;AEROTON EXT.46
23;AEROTON EXT.50
24;AEROTON EXT.51
25;AEROTON EXT.52
26;AIRDLIN A.H.
27;ALAN MANOR
28;ALAN MANOR EXT.2
29;ALBERTSKROON
30;ALBERTVILLE
31;ALBERTVILLE EXT.1
32;ALBERTVILLE EXT.2
33;ALBERTVILLE EXT.4
34;ALBERTVILLE EXT.5
35;ALBERTVILLE EXT.6
36;ALBERTVILLE EXT.7
37;ALBERTVILLE EXT.8
38;ALBERTVILLE EXT.9
39;ALBERTVILLE EXT.10
40;ALBERTVILLE EXT.11
41;ALBERTVILLE EXT.12
42;ALDARAPARK
43;ALEWYNSPOORT 145-IR
44;ALEXANDRA
45;ALEXANDRA EXT.1
46;ALEXANDRA EXT.2
47;ALEXANDRA EXT.3
48;ALEXANDRA EXT.4
49;ALEXANDRA EXT.5
50;ALEXANDRA EXT.6
51;ALEXANDRA EXT.7
52;ALEXANDRA EXT.8
53;ALEXANDRA EXT.9
54;ALEXANDRA EXT.10
55;ALEXANDRA EXT.11
56;ALEXANDRA EXT.12
57;ALEXANDRA EXT.13
58;ALEXANDRA EXT.14
59;ALEXANDRA EXT.15
60;ALEXANDRA EXT.16
61;ALEXANDRA EXT.17
62;ALEXANDRA EXT.18
63;ALEXANDRA EXT.19
64;ALEXANDRA EXT.20
65;ALEXANDRA EXT.21
66;ALEXANDRA EXT.22
67;ALEXANDRA EXT.23
68;ALEXANDRA EXT.24
69;ALEXANDRA EXT.25
70;ALEXANDRA EXT.26
71;ALEXANDRA EXT.27
72;ALEXANDRA EXT.28
73;ALEXANDRA EXT.29
74;ALEXANDRA EXT.30
75;ALEXANDRA EXT.31
76;ALEXANDRA EXT.32
77;ALEXANDRA EXT.33
78;ALEXANDRA EXT.34
79;ALEXANDRA EXT.35
80;ALEXANDRA EXT.36
81;ALEXANDRA EXT.37
82;ALEXANDRA EXT.38
83;ALEXANDRA EXT.39
84;ALEXANDRA EXT.40
85;ALEXANDRA EXT.41
86;ALEXANDRA EXT.42
87;ALEXANDRA EXT.43
88;ALEXANDRA EXT.44
89;ALEXANDRA EXT.45
90;ALEXANDRA EXT.46
91;ALEXANDRA EXT.47
92;ALEXANDRA EXT.50
93;ALEXANDRA EXT.51
94;ALEXANDRA EXT.52
95;ALEXANDRA EXT.53
96;ALEXANDRA EXT.54
97;ALEXANDRA EXT.55
98;ALEXANDRA EXT.56
99;ALEXANDRA EXT.57
100;ALEXANDRA EXT.58
101;ALEXANDRA EXT.59
102;ALEXANDRA EXT.60
103;ALEXANDRA EXT.61
104;ALEXANDRA EXT.62
105;ALEXANDRA EXT.63
106;ALEXANDRA EXT.65
107;ALEXANDRA EXT.66
108;ALEXANDRA EXT.68
109;ALEXANDRA EXT.70
110;ALEXANDRA EAST BANK
111;ALLANDALE EXT.7
112;ALLANDALE EXT.9
113;ALLANDALE EXT.12
114;ALLANDALE EXT.30
115;ALLANDALE EXT.32
116;ALLANDALE EXT.34
